"","KingCounty.lat","KingCounty.long","KingCounty.id"
"1",47.5112,-122.257,7129300520
"2",47.721,-122.319,6414100192
"3",47.7379,-122.233,5631500400
"4",47.5208,-122.393,2487200875
"5",47.6168,-122.045,1954400510
"6",47.6561,-122.005,7237550310
"7",47.3097,-122.327,1321400060
"8",47.4095,-122.315,2008000270
"9",47.5123,-122.337,2414600126
"10",47.3684,-122.031,3793500160
"11",47.6007,-122.145,1736800520
"12",47.69,-122.292,9212900260
"13",47.7558,-122.229,114101516
"14",47.6127,-122.045,6054650070
"15",47.67,-122.394,1175000570
"16",47.5714,-122.375,9297300055
"17",47.7277,-121.962,1875500060
"18",47.6648,-122.343,6865200140
"19",47.3089,-122.21,16000397
"20",47.3343,-122.306,7983200060
"21",47.7025,-122.341,6300500875
"22",47.5316,-122.233,2524049179
"23",47.3266,-122.169,7137970340
"24",47.3533,-122.166,8091400200
"25",47.3739,-122.172,3814700200
"26",47.3048,-122.218,1202000200
"27",47.6386,-122.36,1794500383
"28",47.6221,-122.314,3303700376
"29",47.695,-122.304,5101402488
"30",47.7073,-122.11,1873100390
"31",47.5391,-122.07,8562750320
"32",47.7274,-122.357,2426039314
"33",47.6823,-122.368,461000390
"34",47.6889,-122.375,7589200193
"35",47.4276,-122.157,7955080270
"36",47.6827,-122.31,9547205180
"37",47.6621,-122.132,9435300030
"38",47.6702,-122.362,2768000400
"39",47.3341,-122.282,7895500070
"40",47.5301,-122.18,2078500320
"41",47.6145,-122.027,5547700270
"42",47.445,-122.347,7766200013
"43",47.6848,-122.016,7203220400
"44",47.6413,-122.364,9270200160
"45",47.4485,-122.175,1432701230
"46",47.7443,-121.977,8035350320
"47",47.3066,-122.371,8945200830
"48",47.6194,-122.151,4178300310
"49",47.6796,-122.301,9215400105
"50",47.4041,-122.451,822039084
"51",47.4258,-122.322,5245600105
"52",47.4934,-122.189,7231300125
"53",47.6808,-122.384,7518505990
"54",47.6989,-122.369,3626039271
"55",47.6571,-122.281,4217401195
"56",47.6597,-122.29,9822700295
"57",47.3663,-122.114,9478500640
"58",47.3663,-122.122,2799800710
"59",47.588,-122.116,7922800400
"60",47.5059,-122.149,8079040320
"61",47.4336,-122.339,1516000055
"62",47.4366,-122.335,9558200045
"63",47.4428,-122.344,5072410070
"64",47.6765,-122.32,9528102996
"65",47.6113,-122.297,1189001180
"66",47.5747,-122.304,3253500160
"67",47.5815,-122.192,3394100030
"68",47.3378,-122.257,3717000160
"69",47.3621,-122.11,1274500060
"70",47.6303,-122.215,1802000060
"71",47.6525,-122.16,1525059190
"72",47.7362,-122.179,1049000060
"73",47.7168,-122.287,8820901275
"74",47.3608,-122.036,5416510140
"75",47.3511,-122.073,3444100400
"76",47.5822,-121.987,3276920270
"77",47.6034,-122.125,4036801170
"78",47.5636,-122.394,2391600320
"79",47.7073,-122.34,6300000287
"80",47.342,-122.025,1531000030
"81",47.3512,-122.008,5104520400
"82",47.349,-122.031,7437100340
"83",47.5474,-122.291,9418400240
"84",47.4811,-122.149,1523059105
"85",47.7264,-122.31,1133000671
"86",47.6337,-122.365,4232902595
"87",47.2909,-122.189,2599001200
"88",47.5228,-122.199,3342103156
"89",47.518,-122.194,1332700270
"90",47.5394,-122.387,3869900162
"91",47.2897,-122.372,2791500270
"92",47.6506,-122.391,5036300431
"93",47.322,-122.351,4168000060
"94",47.687,-122.386,6021501535
"95",47.687,-122.386,6021501535
"96",47.5873,-122.249,1483300570
"97",47.3576,-122.277,3422049190
"98",47.3036,-122.378,1099611230
"99",47.4109,-121.958,722079104
"100",47.4838,-121.714,7338200240
"101",47.6415,-122.315,1952200240
"102",47.6775,-122.372,5200100125
"103",47.7731,-122.08,7214720075
"104",47.5814,-122.196,2450000295
"105",47.4375,-122.184,6197800045
"106",47.4431,-122.133,1328310370
"107",47.6878,-122.38,546000875
"108",47.3813,-122.322,3530510041
"109",47.7304,-122.082,1853000400
"110",47.6417,-122.109,3134100116
"111",47.5386,-122.053,9545230140
"112",47.6823,-122.349,3362400511
"113",47.3624,-122.031,2525310310
"114",47.5474,-122.295,6126500060
"115",47.3183,-122.253,8961960160
"116",47.6981,-122.368,3626039325
"117",47.6824,-122.347,3362400431
"118",47.5009,-122.248,4060000240
"119",47.4965,-122.303,3454800060
"120",47.587,-122.294,1695900060
"121",47.7728,-122.386,7278700070
"122",47.7288,-122.226,6675500070
"123",47.6999,-122.364,3626039187
"124",47.5299,-122.266,3524049083
"125",47.6897,-122.098,3275860240
"126",47.6141,-122.212,4389200955
"127",47.5091,-122.244,4058801670
"128",47.3129,-122.39,8732020310
"129",47.6763,-122.352,2331300505
"130",47.5319,-121.85,7853210060
"131",47.2761,-122.152,3668000070
"132",47.5343,-122.054,9545240070
"133",47.697,-122.072,1243100136
"134",47.5517,-121.998,8929000270
"135",47.6734,-122.38,2767602356
"136",47.3257,-122.296,921049315
"137",47.3309,-122.299,3655000070
"138",47.7689,-122.266,4027700812
"139",47.7135,-122.287,3992700335
"140",47.6722,-122.381,2767603505
"141",47.6338,-122.358,4232901525
"142",47.5707,-122.128,1777500060
"143",47.4563,-122.171,1432900240
"144",47.7144,-122.351,6140100875
"145",47.5495,-122.174,6071600370
"146",47.7421,-122.026,1526069017
"147",47.6354,-122.353,809001525
"148",47.5262,-121.943,3224079105
"149",47.3887,-122.286,8075400570
"150",47.6873,-122.336,1994200024
"151",47.6838,-122.353,3362900810
"152",47.655,-122.359,1324300398
"153",47.3255,-122.304,537000445
"154",47.562,-122.162,7855801670
"155",47.679,-122.3,7920100045
"156",47.4479,-122.176,8960000030
"157",47.525,-122.172,6388930390
"158",47.3135,-122.369,8731900200
"159",47.2086,-121.996,8029200135
"160",47.4715,-122.118,1081200350
"161",47.4877,-122.335,84000105
"162",47.7171,-122.193,3756500060
"163",47.6012,-122.023,7215720160
"164",47.7319,-122.224,3574800520
"165",47.4582,-122.023,2617300160
"166",47.7209,-122.168,2558660270
"167",47.408,-122.327,2009000370
"168",47.565,-122.125,1836980160
"169",47.7028,-122.231,3261020370
"170",47.7458,-122.331,1755700060
"171",47.4776,-122.337,4330600435
"172",47.3026,-122.374,9542800700
"173",47.7658,-122.339,1999700045
"174",47.6477,-122.182,1762600070
"175",47.5619,-122.125,1687900520
"176",47.6106,-122.31,7234600798
"177",47.5868,-122.308,3881900445
"178",47.6101,-122.307,2254502445
"179",47.1976,-121.999,5437810320
"180",47.7224,-122.358,9158100075
"181",47.3505,-122.179,3830630310
"182",47.5384,-122.376,8123100045
"183",47.7044,-122.2,3127200041
"184",47.3848,-122.039,6661200320
"185",47.6993,-122.102,11510310
"186",47.6627,-122.188,825059270
"187",47.3099,-122.379,8731951370
"188",47.62,-122.043,1954440060
"189",47.65,-122.34,2264500350
"190",47.6647,-122.153,1115810060
"191",47.726,-122.191,9477200200
"192",47.4616,-122.184,1432600560
"193",47.5505,-122.219,2287000060
"194",47.7606,-122.336,3663500060
"195",47.7481,-122.3,3996900125
"196",47.2779,-122.347,7796450200
"197",47.5511,-122.312,7549802535
"198",47.5488,-122.372,3278600320
"199",47.5385,-121.911,2824079053
"200",47.4058,-121.994,1222069094
"201",47.5093,-122.184,3542300060
"202",47.3777,-122.165,2222059065
"203",47.675,-122.394,7551300060
"204",47.3025,-122.37,100600550
"205",47.4787,-122.158,3211100860
"206",47.5378,-122.219,3456000310
"207",47.7073,-122.114,9526600140
"208",47.5733,-122.381,7465900060
"209",47.4604,-122.339,1222000055
"210",47.7067,-122.343,6300000550
"211",47.354,-122.047,2310030510
"212",47.6647,-122.284,1025049114
"213",47.6143,-122.017,8677300550
"214",47.3185,-122.275,4014400292
"215",47.5458,-122.268,1102000196
"216",47.4889,-122.299,257000138
"217",47.5673,-122.21,46100204
"218",47.5133,-122.379,1909600046
"219",47.5884,-122.291,1250202145
"220",47.7145,-122.367,7611200125
"221",47.5836,-122.026,5611500140
"222",47.398,-122.299,7138000260
"223",47.7663,-122.215,626059335
"224",47.3758,-122.217,1922059282
"225",47.3828,-122.023,705700390
"226",47.5123,-122.373,7454001200
"227",47.7076,-122.013,8682281200
"228",47.2922,-122.371,7972000200
"229",47.4075,-122.214,722059070
"230",47.6794,-122.034,7202340400
"231",47.4497,-122.375,8096000060
"232",47.5218,-122.164,2424000060
"233",47.3103,-122.339,9264902050
"234",47.5687,-121.899,943100260
"235",47.5575,-122.303,3677400445
"236",47.6489,-122.183,1762600320
"237",47.3459,-121.95,4058000060
"238",47.6136,-122.303,7228500560
"239",47.7641,-122.023,326069104
"240",47.3376,-122.324,5152100060
